"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","186","NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1842,1262,2687
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","187","0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2097,1391,3159
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","188","300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2147,1529,3014
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","189","400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1382,903,2114
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","190","0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1333,858,2068
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","191","500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2156,1494,3110
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","192","0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2452,1746,3443
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","193","100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1667,1089,2550
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","194","0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1785,1093,2914
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","195","Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2432,1649,3584
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","196","0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2222,1526,3235
