sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
169,66,18,4424.77,1001.95,4316.94,1.25
169,66,23,2302.4,486.35,2252.54,1.23
169,67,2,2139.45,459.82,2094.92,1.22
169,67,7,3130.4,947.07,3003.25,1.33
169,67,12,3356.8,691.41,3295,1.21
169,67,17,4675.8,1333.43,4493.04,1.33
169,67,22,2864.77,674.78,2791.12,1.25
169,68,1,1994.74,414.78,1956.7,1.21
169,68,6,2344.84,521.62,2292.28,1.23
169,68,11,3132.63,658.09,3062.15,1.25
169,68,16,3957.75,989.56,3837.28,1.28
169,68,21,3030.71,659.5,2962.04,1.24
169,69,0,1738.95,403.83,1698.33,1.24
169,69,5,1891.79,461.36,1843.79,1.25
169,69,10,2731.88,730.05,2636.25,1.32
169,69,15,2870.59,653.72,2800.32,1.25
